Product ID,Recency,Frequency,Monetary,class
OFF-AP-10003598,370,3,39946.86,2
FUR-CH-10001582,208,5,40900.12,1
TEC-MA-10001047,86,2,84499.35,1
TEC-PH-10000505,142,2,26425.13,1
FUR-BO-10002003,105,5,54431.25,1
TEC-CO-10001775,72,6,29000.36,1
OFF-AP-10000647,121,3,37494.6,1
TEC-MA-10004002,525,3,36370.08,2
TEC-CO-10001926,555,4,43531.76,2
OFF-ST-10001496,135,10,33695.53,1
FUR-CH-10002203,102,5,93177.0,1
FUR-BO-10001934,37,14,84560.66,1
TEC-CO-10000562,396,5,32710.37,2
TEC-MA-10001127,555,4,83478.8,2
OFF-BI-10000545,352,9,171524.89,2
TEC-CO-10002035,84,7,57350.55,1
TEC-CO-10004099,288,3,23682.26,2
TEC-PH-10003002,12,4,56019.54,1
FUR-TA-10001932,79,6,24977.86,1
TEC-CO-10004722,43,5,253399.28,1
FUR-CH-10000749,69,2,16975.92,1
TEC-CO-10004398,104,6,12893.91,1
TEC-CO-10004535,286,6,29337.03,2
TEC-AC-10000420,218,8,38453.56,1
FUR-BO-10001212,103,7,43401.59,1
TEC-PH-10001670,90,5,70142.3,1
FUR-CH-10001215,47,9,54757.11,1
FUR-BO-10004679,0,8,121726.68,1
OFF-AP-10001776,4,9,36921.38,1
TEC-MA-10003704,499,2,9119.65,2
FUR-CH-10001854,28,8,43310.93,1
TEC-MA-10000984,554,2,27980.0,2
TEC-AC-10000376,46,9,47896.05,1
TEC-CO-10003800,20,6,47074.06,1
TEC-SAM-10004230,43,3,24282.0,1
FUR-CH-10002320,110,4,45258.18,1
OFF-AP-10002312,139,4,51128.52,1
TEC-PH-10000169,22,11,86207.5,1
FUR-CH-10000595,201,8,28298.08,1
FUR-BO-10000288,172,5,39740.21,1
TEC-AC-10000866,457,7,67393.18,2
OFF-AP-10001623,307,6,76662.33,2
FUR-BO-10003541,1,7,26624.24,1
TEC-CO-10004365,537,3,40866.45,2
TEC-MA-10000822,257,4,93329.45,1
TEC-PH-10000800,254,4,24997.64,1
FUR-BO-10004834,205,8,103152.49,1
FUR-TA-10001642,61,2,44358.56,1
OFF-AP-10001041,287,4,29841.46,2
OFF-AP-10002090,167,4,53473.9,1
OFF-AP-10002330,142,7,137619.01,1
TEC-CIS-10002344,133,8,71196.93,1
FUR-TA-10002153,494,2,19572.03,2
OFF-AP-10004964,51,4,56224.71,1
TEC-AC-10003832,25,18,75603.62,1
FUR-CH-10002061,70,8,45197.18,1
TEC-PH-10002759,5,6,86451.4,1
TEC-PH-10001699,289,6,53226.24,2
TEC-MA-10000418,273,3,35699.88,2
TEC-PH-10001494,69,4,26575.57,1
FUR-BO-10000490,104,4,47291.4,1
TEC-PH-10000018,34,9,51157.96,1
FUR-HON-10003533,323,3,24360.39,2
TEC-AC-10001949,445,2,10333.2,2
OFF-HOO-10004910,2,5,22339.44,1
TEC-MA-10001335,7,4,28664.93,1
FUR-TA-10000347,1311,1,15600.45,2
TEC-PH-10000493,49,7,65439.38,1
FUR-TA-10003596,735,2,18186.36,2
FUR-TA-10003179,79,4,12923.77,1
TEC-PH-10001396,409,4,50065.01,2
FUR-TA-10003078,28,2,22740.27,1
FUR-CH-10003581,398,8,31384.08,2
FUR-TA-10000184,709,3,38249.95,2
OFF-AP-10001956,172,2,7319.7,1
TEC-PH-10002200,50,8,40517.62,1
OFF-AP-10003382,121,2,4253.57,3
OFF-ST-10002011,601,3,25235.24,2
OFF-AP-10003917,206,4,55748.39,1
OFF-ST-10002900,43,14,43783.53,1
TEC-CO-10003819,153,6,25979.69,1
OFF-AP-10000675,18,5,77342.69,1
FUR-BO-10003404,79,2,14653.32,1
OFF-AP-10001824,63,8,22239.09,1
OFF-SME-10000746,6,13,59113.08,1
TEC-MA-10003673,196,1,17022.5,1
OFF-ST-10001490,187,13,41904.76,1
TEC-PH-10001578,755,4,12715.43,2
TEC-CO-10000208,30,4,23720.0,1
FUR-CH-10003312,50,7,24059.26,1
TEC-EPS-10000053,516,1,11418.0,2
OFF-ST-10004060,4,12,32450.9,1
TEC-PH-10000303,133,6,126230.02,1
FUR-BO-10002708,98,4,25426.12,1
FUR-BO-10000210,111,8,33804.1,1
FUR-BO-10001192,61,7,16287.7,1
FUR-SAU-10002255,139,4,31925.82,1
FUR-CH-10000974,99,7,45153.98,1
OFF-AP-10003866,53,2,11486.1,1
FUR-CH-10003616,291,3,21180.24,2
FUR-CH-10000479,410,3,12297.8,2
TEC-CO-10001046,21,5,39199.44,1
OFF-HOO-10000318,35,4,5445.26,1
TEC-NOK-10001283,28,9,8413.02,1
OFF-AP-10000407,79,6,53291.95,1
OFF-BI-10001359,88,11,74001.68,1
FUR-CH-10002335,8,14,35765.69,1
TEC-MA-10001148,75,5,25758.25,1
FUR-BAR-10004434,707,1,8232.0,2
FUR-BO-10002444,139,3,20744.28,1
FUR-BO-10004709,2,12,29685.13,1
TEC-MA-10004772,62,7,33636.9,1
FUR-BAR-10003532,337,2,18273.93,2
TEC-CO-10002911,109,4,62389.18,1
FUR-TA-10001705,76,4,22939.54,1
FUR-SAU-10004653,133,9,33309.64,1
TEC-NOK-10004339,341,3,13359.15,2
FUR-TA-10000022,1182,1,14778.72,2
FUR-CH-10000843,19,9,22009.34,1
OFF-AP-10002681,14,5,30772.54,1
TEC-AC-10002049,84,15,59448.65,1
OFF-BI-10003925,50,6,51369.88,1
OFF-AP-10004627,211,3,13758.28,1
TEC-PH-10001076,110,2,12129.26,1
TEC-PH-10001457,80,8,95892.75,1
TEC-MA-10004534,770,4,18132.77,2
FUR-BO-10003991,300,5,30620.86,2
OFF-AP-10002793,54,5,58239.56,1
FUR-CH-10002093,16,6,12305.45,1
FUR-BO-10003103,34,12,44651.29,1
TEC-CO-10001818,29,13,59795.76,1
TEC-CO-10002040,5,8,39651.98,1
TEC-CO-10001654,27,6,55424.79,1
OFF-AP-10002397,651,2,37511.24,2
TEC-CAN-10001853,366,4,58569.15,2
FUR-CH-10001207,40,5,33223.08,1
TEC-PH-10002597,336,11,27137.25,2
TEC-CO-10002617,40,7,32875.08,1
TEC-CO-10000556,140,5,22333.02,1
OFF-AP-10000275,328,3,37407.96,2
TEC-HEW-10003460,512,3,13990.32,2
TEC-PH-10002672,96,3,49505.64,1
TEC-PH-10000106,77,8,41395.0,1
OFF-AP-10003057,422,3,20377.38,2
TEC-CO-10002095,44,7,29899.4,1
TEC-SAM-10000345,37,6,16916.56,1
TEC-CIS-10002259,47,11,68861.44,1
OFF-AP-10004350,229,1,11403.5,1
OFF-HOO-10000335,14,4,12946.12,1
FUR-BO-10004129,1371,2,19242.96,2
OFF-ST-10004597,19,15,48901.48,1
FUR-CH-10001664,41,14,55036.73,1
OFF-AP-10003240,125,1,5048.73,1
FUR-TA-10000136,111,2,12364.69,1
FUR-BO-10002866,855,1,9493.2,2
OFF-ST-10004459,4,8,41437.54,1
FUR-TA-10001276,114,2,9936.86,1
TEC-MA-10002178,362,2,2782.8,4
TEC-APP-10002966,7,6,65025.0,1
FUR-CH-10000685,916,3,16777.04,2
FUR-BO-10001541,1,6,18910.33,1
TEC-CO-10003931,8,12,28481.5,1
FUR-BO-10001553,20,4,43065.69,1
OFF-ST-10004748,103,2,7936.8,1
OFF-AP-10000540,35,2,23856.2,1
TEC-CO-10004567,12,6,45965.13,1
FUR-BO-10001749,194,7,48654.97,1
OFF-ROG-10003898,69,13,18074.91,1
TEC-MA-10000864,859,2,32252.0,2
TEC-CO-10002663,351,1,22778.88,2
TEC-CO-10001419,372,5,23987.15,2
TEC-CO-10003763,482,4,64539.08,2
TEC-CO-10000679,61,10,30676.64,1
FUR-IKE-10001539,55,10,26521.02,1
TEC-CO-10002376,69,8,34973.65,1
FUR-TA-10002903,8,5,25113.96,1
OFF-AP-10000136,245,1,41356.41,1
FUR-BO-10000567,111,8,74002.04,1
FUR-BO-10001471,75,4,104856.36,1
OFF-ST-10001758,15,15,61221.67,1
TEC-AC-10003870,157,4,24749.25,1
OFF-ST-10004191,54,12,16229.92,1
FUR-TA-10004154,32,6,42081.0,1
FUR-OFF-10001224,275,6,15654.6,2
FUR-BO-10002545,106,8,36920.84,1
OFF-AP-10004913,876,2,18633.74,2
TEC-MA-10002392,369,4,15765.3,2
FUR-TA-10003222,678,3,12576.91,2
TEC-AC-10000639,96,4,17724.38,1
FUR-TA-10003354,154,2,16275.93,1
OFF-BI-10003091,135,6,19105.49,1
OFF-AP-10001527,1080,2,21568.41,2
TEC-SAM-10004940,845,2,10772.74,2
TEC-CO-10003777,125,6,57412.38,1
OFF-AP-10001169,172,3,24894.0,1
FUR-BO-10002213,35,10,87267.1,1
FUR-BO-10000120,82,2,10776.59,1
TEC-PH-10002991,133,4,49987.02,1
FUR-TA-10000989,723,3,37626.6,2
TEC-MA-10004609,6,9,46810.22,1
TEC-CO-10003448,2,10,28506.84,1
TEC-CO-10003496,39,3,19490.18,1
OFF-ST-10003150,245,3,27362.24,1
FUR-BO-10004947,34,7,21918.11,1
FUR-CH-10004694,131,10,21127.89,1
FUR-CH-10004669,5,10,27660.18,1
FUR-BO-10001196,90,4,23428.48,1
OFF-KIT-10001380,197,3,5575.5,1
TEC-MA-10000753,147,4,5779.88,1
OFF-ST-10000624,51,19,46739.52,1
TEC-PH-10002601,120,9,41234.34,1
OFF-ROG-10001735,26,9,53328.24,1
FUR-TA-10002256,58,3,14662.66,1
TEC-CO-10001413,114,4,14000.43,1
FUR-LES-10002026,1307,1,855.15,4
TEC-MA-10001777,197,5,20003.44,1
FUR-CH-10004462,953,2,10847.27,2
FUR-BO-10002580,44,3,23440.0,1
TEC-PH-10004618,16,12,46735.07,1
OFF-ROG-10001101,89,10,12472.56,1
OFF-AP-10002252,11,5,48753.28,1
FUR-CH-10000660,758,7,66428.48,2
FUR-TA-10001285,1440,1,16783.49,2
OFF-ST-10003741,50,7,34419.26,1
FUR-BO-10003046,65,6,23491.52,1
FUR-TA-10001116,1038,1,32707.8,2
TEC-PH-10004586,68,6,17997.5,1
FUR-CH-10002780,97,7,42585.82,1
FUR-BO-10004558,642,2,13329.05,2
TEC-PH-10003457,57,9,75536.83,1
TEC-MEM-10002005,179,5,20570.89,1
TEC-CO-10003342,293,8,100293.2,2
FUR-CH-10004086,101,8,53299.07,1
FUR-BEV-10004919,485,2,9071.37,2
TEC-OKI-10001385,28,7,12699.0,1
FUR-CH-10003009,130,11,28601.87,1
FUR-BO-10002613,166,6,26566.66,1
OFF-BI-10004519,33,8,11419.42,1
OFF-AP-10001931,5,8,51351.06,1
OFF-AP-10001305,124,5,18785.6,1
TEC-CO-10002150,415,6,9682.69,2
TEC-PH-10004823,16,11,109465.93,1
FUR-CH-10000051,54,2,21596.62,1
FUR-CH-10000454,31,12,58262.42,1
TEC-PH-10001795,28,5,24527.53,1
FUR-TA-10003268,2,3,11734.04,1
TEC-AC-10001838,20,7,26238.69,1
FUR-BO-10002204,35,8,44763.56,1
TEC-AC-10004571,92,12,20570.09,1
FUR-CH-10004095,63,16,47655.89,1
TEC-MA-10000010,399,1,24320.0,2
OFF-KIT-10003683,34,3,21351.66,1
FUR-BO-10000980,70,7,16117.52,1
FUR-BUS-10004644,260,1,1462.68,4
TEC-PH-10000730,51,5,32510.15,1
OFF-AP-10002321,422,1,11138.04,2
TEC-PH-10000896,57,10,44968.32,1
TEC-MEM-10002202,130,3,52487.46,1
FUR-BO-10001356,36,9,21271.57,1
TEC-SHA-10001231,86,6,9434.3,1
FUR-HON-10001960,232,2,2644.5,3
FUR-TA-10002966,80,2,8215.82,1
FUR-BO-10001943,22,3,21750.28,1
TEC-BRO-10004802,688,5,19321.14,2
TEC-PH-10001751,561,6,62372.79,2
TEC-PH-10003713,27,8,75998.92,1
FUR-BO-10000967,7,5,35525.68,1
OFF-AP-10002317,85,4,19167.01,1
TEC-SHA-10000971,22,7,7070.74,1
FUR-CH-10000546,477,3,29470.59,2
TEC-STA-10002497,252,6,21582.6,1
TEC-CO-10001895,218,4,59243.14,1
OFF-AP-10002573,407,4,16827.38,2
FUR-BO-10001255,56,4,27150.52,1
FUR-BO-10002990,378,6,61709.47,2
FUR-TA-10004711,236,1,21494.25,1
OFF-AP-10000584,196,3,17682.72,1
TEC-PH-10000720,133,8,24313.51,1
OFF-SME-10000538,90,13,37890.72,1
FUR-BO-10002736,47,5,20562.14,1
OFF-CUI-10000682,149,3,35361.02,1
TEC-AC-10002244,44,7,39496.79,1
TEC-HEW-10003829,11,7,27244.08,1
FUR-TA-10003954,59,6,53305.08,1
OFF-AP-10001593,216,3,21552.8,1
OFF-BRE-10001107,294,5,22461.6,2
TEC-MA-10002428,90,3,21264.63,1
TEC-CO-10003655,97,5,17218.26,1
FUR-CH-10001271,146,4,27547.37,1
TEC-CO-10000447,57,6,62792.52,1
FUR-CH-10001332,29,8,48289.02,1
FUR-CH-10002573,111,12,46035.0,1
OFF-ST-10000704,22,10,11422.4,1
TEC-CO-10003354,198,5,35867.6,1
TEC-MA-10002918,576,3,13916.16,2
FUR-CH-10001588,232,2,24010.78,1
TEC-MA-10001752,965,2,10611.22,2
TEC-PH-10004006,43,5,6860.83,1
FUR-BO-10000035,273,5,41961.04,2
OFF-AP-10003275,81,8,61150.14,1
OFF-AP-10003561,225,3,13691.83,1
TEC-MA-10000488,44,4,35839.55,1
TEC-STA-10003330,286,7,12108.7,2
TEC-CAN-10000932,415,3,7036.26,2
FUR-CH-10000994,1,12,28516.74,1
FUR-BO-10003783,128,5,32573.81,1
OFF-AP-10001329,741,1,10229.22,2
TEC-CO-10004563,20,6,26081.83,1
OFF-HOO-10001783,397,4,6790.08,2
OFF-AP-10003558,1190,1,33561.6,2
FUR-BO-10000170,921,2,37426.37,2
FUR-TA-10002101,376,1,4441.1,4
TEC-PH-10000419,357,6,64469.28,2
FUR-TA-10001494,1220,2,19066.57,2
FUR-BO-10001165,49,4,13793.18,1
FUR-BO-10003697,191,5,18292.07,1
FUR-HON-10003871,872,2,2399.67,4
FUR-BO-10001946,110,8,14974.75,1
TEC-AC-10004849,145,4,14181.75,1
OFF-AP-10003621,41,1,10954.76,1
OFF-AP-10001106,258,2,39635.2,1
TEC-SAM-10004785,111,5,14631.45,1
OFF-ST-10004267,96,11,27586.76,1
FUR-TA-10002533,41,5,15108.87,1
TEC-STA-10003386,207,3,16000.17,1
FUR-BO-10004043,96,3,34048.26,1
TEC-PH-10001712,6,3,32227.04,1
FUR-BO-10000259,187,6,29136.98,1
TEC-MA-10002927,1153,1,7983.96,2
FUR-TA-10004801,182,2,7474.94,1
FUR-BO-10004771,219,8,63929.68,1
TEC-CO-10000971,140,6,14519.52,1
FUR-BO-10001370,735,2,2017.15,4
FUR-TA-10003748,21,9,36864.5,1
TEC-CO-10002122,968,1,11504.16,2
TEC-MA-10002468,177,4,47661.75,1
OFF-BRE-10002706,182,4,20209.89,1
FUR-BO-10004388,205,4,19448.76,1
OFF-AP-10004201,39,4,20802.29,1
OFF-AP-10004511,133,4,30226.11,1
TEC-CO-10004961,187,3,8679.6,1
TEC-CO-10004089,323,3,21076.06,2
OFF-ST-10003716,47,12,44913.99,1
FUR-TA-10000577,16,8,29180.0,1
FUR-BO-10003559,85,7,6212.54,1
OFF-HAM-10004896,559,3,55767.47,2
FUR-BO-10004842,173,3,18147.02,1
TEC-AC-10003506,251,3,22796.46,1
FUR-TA-10003926,505,2,29885.19,2
FUR-BO-10002300,49,10,49678.27,1
FUR-BO-10004472,14,8,18818.0,1
TEC-PH-10001066,49,6,27074.56,1
TEC-CO-10000847,103,2,5481.22,1
FUR-TA-10003569,478,6,35566.93,2
FUR-BO-10002812,142,6,18668.13,1
FUR-SAU-10001776,19,8,7512.22,1
FUR-CHR-10002686,311,2,7575.54,2
TEC-CO-10000660,48,12,30616.05,1
TEC-CO-10004170,79,7,19325.47,1
OFF-ST-10001478,18,11,17199.31,1
TEC-PH-10004074,57,5,32825.34,1
OFF-AP-10004031,197,3,7222.06,1
TEC-MA-10004535,116,2,20727.56,1
TEC-AC-10001566,106,4,17159.1,1
TEC-CO-10002174,116,7,36755.0,1
TEC-CIS-10001938,57,5,12678.34,1
TEC-CO-10003901,82,6,21194.4,1
FUR-TA-10001229,673,1,8467.2,2
TEC-CO-10002283,468,5,20154.11,2
FUR-BO-10000728,36,13,56527.4,1
FUR-BO-10001309,440,2,2058.75,4
FUR-CH-10004675,41,7,24359.54,1
TEC-PH-10003891,5,4,18416.38,1
FUR-TA-10002786,142,2,35402.3,1
TEC-PH-10003513,41,3,16686.7,1
FUR-CH-10004063,278,8,50818.65,2
TEC-AC-10000203,26,11,46587.34,1
FUR-CH-10003981,30,7,18913.73,1
FUR-CH-10002250,119,10,77439.13,1
OFF-AP-10000487,257,3,32314.62,1
TEC-PH-10003683,0,8,23746.67,1
TEC-AC-10003753,217,5,6252.86,1
TEC-PH-10000037,148,9,39257.78,1
TEC-STA-10003447,119,4,5448.01,1
OFF-SU-10000076,344,4,13444.2,2
OFF-AP-10003032,2,6,32714.03,1
TEC-PH-10002962,241,3,68519.47,1
TEC-PH-10000808,910,1,10905.6,2
FUR-CH-10002585,446,4,27232.57,2
FUR-BO-10004695,225,7,30024.58,1
TEC-MA-10003557,350,8,33234.75,2
TEC-CO-10001191,32,3,32809.22,1
OFF-AP-10003795,26,3,26918.2,1
TEC-CO-10001839,103,4,21148.2,1
TEC-MA-10002148,35,3,28113.18,1
TEC-CO-10000137,0,9,57705.26,1
OFF-SU-10000151,657,3,67466.24,2
TEC-PH-10004910,53,7,27148.57,1
OFF-ST-10000288,35,14,28823.25,1
FUR-BO-10004844,203,3,9168.98,1
FUR-BO-10001822,16,5,36113.63,1
TEC-AC-10003265,23,6,35707.5,1
FUR-CH-10000015,131,6,41197.32,1
FUR-CH-10000885,9,10,37199.39,1
FUR-BAR-10000946,119,2,17761.11,1
OFF-AP-10000663,5,2,14552.83,1
FUR-TA-10004383,54,3,18559.03,1
FUR-BO-10002462,73,4,17069.29,1
TEC-PH-10000780,43,6,47615.59,1
TEC-MA-10001009,110,4,25172.14,1
TEC-MA-10004655,79,6,11746.25,1
OFF-HAM-10003368,463,2,4496.7,4
FUR-TA-10002467,120,4,22268.04,1
FUR-CH-10004774,13,10,73908.12,1
TEC-PH-10002549,57,6,21637.39,1
TEC-PH-10003794,21,5,15258.16,1
TEC-BEL-10003985,40,10,18360.26,1
FUR-TA-10003641,282,1,17644.54,2
TEC-PH-10000160,44,7,63599.19,1
FUR-TA-10002951,200,1,16042.84,1
FUR-BUS-10004820,89,6,8428.56,1
FUR-TA-10004745,579,1,9746.69,2
FUR-HAR-10004086,12,4,13517.14,1
OFF-AP-10003287,124,8,38419.92,1
FUR-CH-10002073,139,4,40537.82,1
TEC-CO-10001678,34,3,12090.84,1
FUR-BUS-10002040,196,9,17204.8,1
TEC-CO-10003346,71,5,22661.59,1
FUR-CHR-10002165,681,1,31021.44,2
FUR-TA-10001095,57,13,55615.94,1
TEC-MA-10003223,57,4,8480.09,1
TEC-PH-10000486,734,3,20785.41,2
OFF-AP-10003217,13,3,7556.38,1
TEC-PH-10003492,125,7,18711.89,1
TEC-EPS-10004558,263,6,26462.17,2
TEC-PH-10004977,28,9,22460.45,1
FUR-CH-10002980,106,2,17273.06,1
TEC-MA-10003356,370,2,4589.49,4
TEC-CO-10003262,51,6,23862.23,1
FUR-BO-10003126,317,4,15655.68,2
TEC-MOT-10002560,74,5,28884.0,1
FUR-BO-10003873,1,4,18307.8,1
OFF-BRE-10004436,880,2,9536.49,2
TEC-PH-10000214,43,4,22444.64,1
OFF-AP-10004168,573,3,10100.98,2
TEC-CO-10001222,22,5,22102.79,1
TEC-CO-10000972,404,5,31645.94,2
TEC-OKI-10002750,89,5,17344.94,1
FUR-TA-10002497,238,2,24442.26,1
TEC-PAN-10000577,43,2,1552.5,3
TEC-CO-10004027,54,5,28600.85,1
FUR-BO-10001392,110,4,10594.56,1
TEC-PH-10002935,92,5,72213.24,1
TEC-CO-10000051,49,3,18307.79,1
TEC-CO-10001008,1,6,46686.96,1
FUR-SAF-10002112,345,5,28562.69,2
FUR-CH-10004910,534,1,20712.89,2
FUR-BO-10003734,43,4,43770.47,1
OFF-AP-10004186,576,1,12969.0,2
OFF-AP-10001018,401,3,10951.82,2
OFF-AP-10003849,41,6,22256.4,1
TEC-CO-10001375,49,5,23485.16,1
TEC-PH-10002320,48,5,18738.03,1
FUR-BO-10003738,40,5,11932.88,1
TEC-CO-10001342,237,4,43991.66,1
FUR-TA-10002650,27,1,8501.28,1
TEC-PH-10002652,511,3,20847.36,2
FUR-HAR-10004593,75,3,7861.93,1
TEC-AC-10004938,50,10,18691.7,1
TEC-KON-10002052,163,4,5735.95,1
OFF-AP-10000213,574,2,24775.5,2
TEC-MA-10004446,441,2,10144.33,2
OFF-ROG-10002294,49,12,33772.42,1
OFF-ST-10003208,2,11,37271.88,1
FUR-TA-10002093,40,2,3199.09,3
FUR-TA-10002411,781,2,14393.89,2
TEC-CO-10000771,98,4,16211.7,1
FUR-BUS-10001781,980,1,13096.08,2
TEC-PH-10003560,327,5,23546.48,2
FUR-TA-10000927,376,1,2220.55,4
TEC-MA-10000433,359,3,13185.09,2
FUR-BAR-10002449,159,3,83647.89,1
TEC-PH-10002867,138,9,46028.94,1
FUR-TA-10004524,149,2,5544.63,1
TEC-PH-10004539,372,7,17878.45,2
TEC-PH-10003870,22,3,9567.6,1
FUR-TA-10001950,75,4,35272.71,1
FUR-SAU-10004221,177,5,12884.52,1
FUR-SAF-10003469,4,7,10866.12,1
FUR-BO-10003881,37,7,12377.88,1
TEC-MA-10003780,5,4,9647.03,1
FUR-TA-10001771,117,4,23098.0,1
FUR-TA-10001360,228,3,28717.52,1
TEC-CO-10000262,12,5,10858.17,1
FUR-TA-10000299,148,2,5986.36,1
TEC-MA-10000606,63,8,33346.95,1
TEC-MA-10004553,4,3,6879.34,1
TEC-BRO-10000374,21,4,23862.6,1
FUR-TA-10004619,384,5,23211.47,2
OFF-AP-10000330,379,3,29177.89,2
OFF-AP-10004183,222,4,26671.16,1
FUR-CH-10003846,11,13,43512.38,1
OFF-ST-10002743,70,10,26523.58,1
FUR-TA-10002972,527,3,26093.64,2
TEC-MA-10004502,27,4,20635.33,1
FUR-TA-10002527,264,3,10934.79,2
TEC-SAM-10000765,191,8,6259.75,1
TEC-CO-10004404,110,3,30583.01,1
FUR-TA-10003307,188,1,7752.96,1
FUR-CH-10002872,99,9,21804.24,1
OFF-AP-10002534,28,5,13198.98,1
OFF-ST-10004315,161,10,21898.44,1
FUR-BO-10004630,12,3,27699.39,1
TEC-AC-10002637,432,5,22390.76,2
OFF-AP-10003963,347,4,88015.86,2
FUR-BO-10000666,331,2,7682.88,2
TEC-PH-10001725,56,6,23077.62,1
TEC-MA-10003400,757,3,3910.28,4
OFF-BI-10003656,152,9,23900.59,1
FUR-BO-10004113,179,9,28397.94,1
OFF-ST-10003785,118,16,46350.52,1
FUR-BO-10000624,160,7,29407.39,1
TEC-AC-10002719,421,4,14366.0,2
TEC-KON-10000837,196,3,4662.5,1
TEC-MA-10000461,2,3,5935.54,1
FUR-BO-10004648,60,3,37828.3,1
TEC-CO-10002009,33,7,13183.79,1
FUR-BO-10000112,105,6,12989.11,1
OFF-ST-10003306,4,18,44133.31,1
TEC-CO-10004078,154,7,61356.71,1
FUR-CH-10002331,121,6,38552.63,1
FUR-HON-10001851,120,3,1371.42,3
TEC-CO-10004202,166,7,14939.5,1
TEC-MA-10003492,20,7,35509.13,1
